distance_km,elevation_change,road_type,num_stops,fuel_type,vehicle_age,engine_capacity,load_capacity_kg,weather,temperature_C,traffic_level,time_of_day,cargo_weight_kg,cargo_type,carbon_emissions_kg
193.52465823520762,61.54857292668895,rural,13,diesel,11,1.5,1000,clear,22.78355983632144,high,evening,506.28135449581634,perishable,99.35432012568343
475.8500101408589,33.03846736198229,highway,11,diesel,9,4.0,20000,clear,-2.5657223064447257,low,morning,405.74168175560885,general,154.03670982040927
368.6770314875885,-76.69226124799796,highway,6,diesel,11,4.0,20000,clear,27.002498898736608,medium,afternoon,8004.119011036924,general,150.78374404958484
303.3426572565479,225.08666907104157,rural,1,hybrid,8,2.5,2000,clear,11.957793458374525,medium,evening,360.0945364971205,perishable,63.309737777377045
86.44913381679389,133.63691235604023,urban,6,diesel,8,1.5,1000,rainy,31.119436818923212,severe,morning,739.0284568378935,perishable,76.55490254968126
86.4373149647393,405.99069462680256,rural,13,diesel,13,1.5,20000,clear,3.8537402434730508,high,morning,6858.497987295656,perishable,66.35378632952252
38.460969962417735,-177.5232936625592,mixed,13,diesel,1,5.0,5000,clear,37.11602279166029,low,night,2159.3517520245714,general,16.935229148270114
434.4263114297182,250.70754928858844,highway,13,petrol,12,5.0,5000,snowy,4.861942964860591,high,evening,240.88979966126706,hazardous,263.61344721206376
304.54635575417234,334.0642149580928,rural,4,diesel,7,4.0,2000,rainy,39.863648285956785,medium,night,156.95623685925642,general,141.35714755644545
356.95556312006227,331.6405984318149,highway,4,hybrid,13,1.5,20000,clear,25.008705827798774,low,afternoon,4786.3157472107,general,66.39931088057256
20.086402204943198,420.25177696686757,urban,5,electric,2,5.0,1000,clear,38.564469996399446,medium,evening,659.8170951831204,hazardous,1.5469466451698706
485.2558275593772,310.32361998064584,highway,13,petrol,13,2.5,1000,clear,26.20804122576796,medium,night,703.9806576624331,general,167.317768975581
417.8968939922066,449.4670431533874,highway,9,petrol,1,2.0,5000,windy,27.70800713701173,low,night,4470.616459443135,general,161.13755595664702
114.04616423235531,32.85961987462402,highway,1,petrol,10,4.0,10000,rainy,-3.931086391315116,medium,morning,7071.232076412351,general,41.359274652914536
99.09423393147931,152.24659172608014,highway,3,diesel,9,2.5,20000,clear,-9.249558873428217,severe,evening,11661.710236056659,general,70.96661129028541
99.86820982818257,-190.14423570197653,mixed,11,diesel,7,2.5,2000,clear,-5.679861444279135,high,afternoon,1291.8002884610016,fragile,48.84910239735615
159.0786990501735,-195.12968888769615,rural,4,petrol,2,3.0,2000,clear,11.863732411112913,medium,evening,781.2506782780805,perishable,47.52387727632632
267.13065149979656,-31.911365683936076,mixed,2,electric,14,2.0,20000,snowy,10.103992721605463,low,afternoon,17371.52459381893,fragile,23.367716182137176
221.65305913463672,-129.43496200264033,urban,9,hybrid,12,2.5,20000,windy,-0.807704219344948,low,evening,11149.59859735805,general,93.59700830689638
152.70227869704053,-17.852042444972472,highway,11,electric,7,3.0,2000,clear,-7.827055591073147,medium,night,132.19235755467068,general,4.713536221017898
309.8079184139659,-76.06969383012182,highway,7,electric,12,3.0,2000,clear,24.60475441576688,medium,night,691.9022611090421,fragile,10.202181171322778
78.3519917195005,-180.03598261294624,highway,1,diesel,5,1.5,1000,clear,-0.10735874518774335,medium,evening,212.84002975956832,hazardous,17.774126788354273
153.15087778225688,436.5129024842346,highway,9,diesel,0,5.0,2000,snowy,38.92792182623539,high,evening,500.593064783725,perishable,107.39349523830694
189.51730321390895,-194.24380802777594,rural,6,diesel,13,2.5,5000,snowy,-4.827724788479467,medium,morning,2589.8797769794705,general,91.07943770995153
233.47429226634762,315.25750103595976,urban,2,petrol,1,4.0,2000,clear,8.178015987923168,low,evening,847.5429694600916,general,102.92164118144214
394.73622108257666,-93.49647915633842,highway,1,diesel,12,1.5,2000,windy,13.946243671744982,severe,evening,866.5471702376765,general,164.28386856639983
107.84015325759627,438.56073539972,highway,6,hybrid,12,2.0,5000,clear,0.924710119350356,low,evening,1997.072601533272,hazardous,20.268759338866506
261.9748748226697,424.95715771292004,highway,7,petrol,13,5.0,5000,rainy,15.167077575563585,severe,morning,978.8911219032598,perishable,207.8967255240926
300.2831387424008,257.7308024584801,highway,10,petrol,1,4.0,20000,windy,-3.776202309552814,medium,night,2008.746910450848,hazardous,120.28189782076034
32.760702232798884,270.5639048604236,highway,6,diesel,13,4.0,2000,snowy,-9.917950823457385,high,evening,837.4302359896867,general,24.332630682558023
307.6969774317048,-196.262600621218,rural,7,diesel,6,3.0,5000,clear,24.91012091496673,low,morning,1284.1826589076632,perishable,103.25175740551576
93.55682060677285,489.41009627952144,highway,6,diesel,5,2.5,1000,clear,31.727414966050446,high,evening,346.88649084253933,general,47.75423511344547
41.87528056278696,414.48282250307005,rural,8,electric,13,3.0,10000,windy,18.734702223377507,low,afternoon,1043.2609323698016,perishable,2.4281041064015385
474.9539132541333,426.5743580110644,highway,2,diesel,1,3.0,5000,rainy,1.4250781464567353,high,evening,3518.6425636298923,perishable,244.3916246745011
483.1596962065341,261.47117593561035,highway,9,petrol,0,2.5,10000,clear,9.728138626875769,medium,morning,650.3418839433441,perishable,130.47493125587795
406.11470057706595,41.35085005817557,rural,9,electric,4,2.5,2000,clear,21.314769375475464,high,night,1294.048836714341,general,22.437729248890957
159.26074689495164,425.55405436333655,urban,11,diesel,10,2.5,1000,clear,-8.372495217656969,low,morning,605.671875704958,general,105.16575423532359
57.859335863128095,4.061849705834641,highway,9,diesel,1,3.0,1000,rainy,-5.288771401268669,high,morning,136.3094652227418,perishable,22.35644124637069
345.2741829909569,193.898080339542,mixed,7,petrol,9,5.0,20000,clear,37.90979168453866,high,morning,14937.223438800342,perishable,382.9356296432908
225.67472193240465,-130.18831935928233,highway,9,petrol,9,2.5,20000,clear,23.926621037407358,medium,night,10387.527683386455,general,83.4670132829103
69.79873507394163,445.3689410929251,highway,1,electric,5,2.5,2000,clear,24.849872995708708,high,night,1323.2349339559973,general,3.3195941431377927
252.6366859545224,-101.46067956015067,rural,3,diesel,13,4.0,5000,rainy,-4.874830415308825,medium,evening,2678.938653915048,general,106.53904168981279
26.850375346457014,-42.572235988714915,rural,2,diesel,1,3.0,1000,clear,1.647446453463517,medium,morning,294.5309107096176,perishable,7.261884656794918
455.5669970186032,190.69391068975048,highway,11,diesel,12,2.5,2000,rainy,9.55734271472689,severe,evening,616.4283364458714,general,277.0247708138147
136.8021909840083,334.8651001490871,highway,1,petrol,10,3.0,2000,rainy,0.2617323242867875,medium,afternoon,1795.4121256651542,general,46.34114452663409
334.63591933345117,233.54591415540926,mixed,5,diesel,8,2.0,5000,clear,30.473010551510114,high,night,3651.270489901582,perishable,196.97903985167713
162.73842728381138,-37.50626103989069,highway,1,petrol,11,1.5,1000,clear,20.322219067209698,medium,night,770.6508132153684,general,32.71887674230685
264.8333303771273,-199.33987023075676,highway,3,petrol,12,4.0,1000,snowy,-0.1584536570994466,low,morning,307.1807443614307,perishable,74.09960059894726
